Name,Website,Symbol,Ticker,Exchange,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Name,Industry,Sector,Year Founded,IPO Date,Headquarter Location,latitude,longitude,SEC ID,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"City, State,","City, County, State, Country",source,precision,CEO,CEO LinkedIn,CEO Pay,Salary Year,Arabesque Profile,Shortsqueeze Profile,,,Country,Sector,Size,Region,Industry,GC Score,ESG Score,Temperature Score,,State,Industry,Competency - Flexibility,Competency - Honesty,Competency - Changes according to the situation,Competency - Encourages initiative,Competency - Value driven decision-making,Competency - Delegating,Competency - Integrity,Competency - Leadership by example,Competency - Clear vision,Competency - Humility,Individual - Integrity/ethics,Individual - Analytic intelligence,Individual - Sense of urgency,Individual - Willingness to ask for help,Individual - Decision making,Individual - Ability to simplify,Individual - Creative Questioning approach,Individual - Leadership,Individual - Openness,Individual - Communications skills,Individual - People empathy,Individual - Potential problem identification,Individual - Vision/perspective,Individual - Ego drive,Individual - Non-political,Individual - Endurance,Individual - Willingness to take unqualified responsibility,Individual - Willingness to take the lead,Results Orientation - RESULTS ORIENTATION,Results Orientation - Market and customer knowledge,Results Orientation - Some familiarity with technology,Results Orientation - Articulates and champions a vision,"Results Orientation - Identifies, grows, and deploys core competencies",Results Orientation - Establishes strategy,Results Orientation - Focuses on profitability,Results Orientation - Builds a team,Results Orientation - Defines clear cut objectives,Results Orientation - Delivers objectives,Results Orientation - Removes obstacles for the team,Results Orientation - Establishes and enforces a culture,Results Orientation - Asks the right questions,Results Orientation - Focuses on both short and long term,Results Orientation - Early problem identification,Results Orientation - Ability to solve a problem,Results Orientation - Encourages continuous learning at all levels,Results Orientation - Reinforces mobility of the team and its core competencies
Assurant Inc,-,AIZ,AIZ,NYSE,Financials,85.16,33.27,2.53,9.08,106.99,85.91,"4,650,000,000",0,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ,Assurant,Financials,Multi-line Insurance,1892,4/10/2007,"New York, New York",40.71,-74.01,1267238,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Alan Colberg,0,"10,155,682.00",#REF!,"https://sray.arabesque.com/dashboard/0053CW-E/Assurant,_Inc.",https://shortsqueeze.com/?symbol=AIZ&submit=Short+Quote%E2%84%A296,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Express Co,-,AXP,AXP,NYSE,Financials,88.34,15,1.5,2.9,102.39,75.51,"80,400,000,000",0,2,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP,American Express Co,Financials,Consumer Finance,1850,6/30/1976,"New York, New York",40.71,-74.01,4962,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Stephen Squeri,0,"23,796,002.00",#REF!,https://sray.arabesque.com/dashboard/000BY7-E/American_Express_Company,https://shortsqueeze.com/?symbol=AXP&submit=Short+Quote%E2%84%A297,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bank of New York Mellon Corp.,-,BK,BK,NYSE,Financials,53.29,14.76,1.73,3.73,58.99,44.91,"56,100,000,000",0,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,1784,3/31/1995,"New York, New York",40.71,-74.01,1390777,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Thomas Gibbons,0,"12,525,701.00",#REF!,https://sray.arabesque.com/dashboard/0091M7-E/Bank_of_New_York_Mellon_Corporation,https://shortsqueeze.com/?symbol=BK&submit=Short+Quote%E2%84%A298,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackRock,-,BLK,BLK,NYSE,Financials,509.38,22.49,2.16,30.3,594.52,368,"85,900,000,000","5,684,000,000",7,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK,BlackRock,Financials,Asset Management & Custody Banks,1988,4/4/2011,"New York, New York",40.71,-74.01,1364742,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Laurence Fink,0,"24,308,254.00",#REF!,"https://sray.arabesque.com/dashboard/002HJD-E/BlackRock,_Inc.",https://shortsqueeze.com/?symbol=BLK&submit=Short+Quote%E2%84%A299,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol-Myers Squibb,-,BMY,BMY,NYSE,Health Care,62.69,20.83,2.55,2.65,66.1,51.12,"103,000,000,000","5,170,000,000",7,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,1989,3/4/1957,"New York, New York",40.71,-74.01,14272,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Giovanni Caforio,0,"18,767,253.00",#REF!,https://sray.arabesque.com/dashboard/000D1R-E/Bristol-Myers_Squibb_Company,https://shortsqueeze.com/?symbol=BMY&submit=Short+Quote%E2%84%A300,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citigroup Inc.,-,C,C,NYSE,Financials,71.87,13.48,1.71,-3.1,80.7,56.14,"193,000,000,000",0,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C,Citigroup Inc.,Financials,Diversified Banks,1998,5/31/1988,"New York, New York",40.71,-74.01,831001,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Michael Corbat,0,"25,508,761.00",#REF!,https://sray.arabesque.com/dashboard/0027L0-E/Citigroup_Inc.,https://shortsqueeze.com/?symbol=C&submit=Short+Quote%E2%84%A301,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate-Palmolive,-,CL,CL,NYSE,Consumer Staples,68.95,24.02,2.28,2.28,77.91,66.26,"61,600,000,000","4,064,000,000",4,236,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL,Colgate-Palmolive,Consumer Staples,Household Products,1806,3/4/1957,"New York, New York",40.71,-74.01,21665,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Noel Wallace,0,"10,828,665.00",#REF!,https://sray.arabesque.com/dashboard/000DXS-E/Colgate-Palmolive_Company,https://shortsqueeze.com/?symbol=CL&submit=Short+Quote%E2%84%A302,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Communications-A,-,DISCA,DISCA,NASDAQ,Consumer Discretionary,22.87,11,0,1.96,30.25,15.99,"8,760,000,000","2,100,000,000",2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,1985,3/1/2010,"New York, New York",40.71,-74.01,1437107,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,David Zaslav,0,"45,843,912.00",#REF!,"https://sray.arabesque.com/dashboard/001CW1-E/Discovery,_Inc._Class_A",https://shortsqueeze.com/?symbol=DISCA&submit=Short+Quote%E2%84%A303,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Communications-C,-,DISCK,DISCK,NASDAQ,Consumer Discretionary,21.58,10.37,0,1.96,29.18,14.99,"8,320,000,000","2,100,000,000",2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,1985,8/7/2014,"New York, New York",40.71,-74.01,1437107,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,#N/A,#N/A,#N/A,#REF!,-,https://shortsqueeze.com/?symbol=DISCK&submit=Short+Quote%E2%84%A304,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consolidated Edison,-,ED,ED,NYSE,Utilities,74.73,18.64,3.8,4.1,89.7,72.63,"23,300,000,000","4,288,000,000",3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED,Consolidated Edison,Utilities,Electric Utilities,1823,12/11/4768,"New York, New York",40.71,-74.01,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Constellation Brands,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,John McAvoy,0,"15,345,285.00",#REF!,"https://sray.arabesque.com/dashboard/001TPD-E/Consolidated_Edison,_Inc.",https://shortsqueeze.com/?symbol=ED&submit=Short+Quote%E2%84%A305,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estee Lauder Cos.,-,EL,EL,NYSE,Consumer Staples,131.46,37.78,1.13,3.35,138.74,81.69,"49,500,000,000","2,478,000,000",4,11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL,Estée Lauder Companies,Consumer Staples,Personal Products,1946,1/5/2006,"New York, New York",40.71,-74.01,1001250,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Fabrizio Freda,0,"21,435,428.00",#REF!,https://sray.arabesque.com/dashboard/00172R-E/Estee_Lauder_Companies_Inc._Class_A,https://shortsqueeze.com/?symbol=EL&submit=Short+Quote%E2%84%A306,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Corporation (Class B),-,FOX,FOX,NASDAQ,,,,,,,,,,,,,Fox Corporation (Class B),Communication Services,Movies & Entertainment,2019,9/18/2015,"New York, New York",40.71,-74.01,1754301,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,#N/A,#N/A,#N/A,#REF!,-,https://shortsqueeze.com/?symbol=FOX&submit=Short+Quote%E2%84%A307,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Corporation (Class A),-,FOXA,FOXA,NASDAQ,,,,,,,,,,,,,Fox Corporation (Class A),Communication Services,Movies & Entertainment,2019,7/1/2013,"New York, New York",40.71,-74.01,1754301,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Lachlan Murdoch,0,"42,111,103.00",#REF!,https://sray.arabesque.com/dashboard/0KHSWP-E/Fox_Corporation_Class_A,https://shortsqueeze.com/?symbol=FOXA&submit=Short+Quote%E2%84%A308,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldman Sachs Group,-,GS,GS,NYSE,Financials,246.35,12.44,1.17,8.61,273.79,209.62,"97,000,000,000",0,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,1869,7/22/2002,"New York, New York",40.71,-74.01,886982,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,David Solomon,0,"24,657,737.00",#REF!,"https://sray.arabesque.com/dashboard/002615-E/Goldman_Sachs_Group,_Inc.",https://shortsqueeze.com/?symbol=GS&submit=Short+Quote%E2%84%A309,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hess Corporation,-,HES,HES,NYSE,Energy,43,-9.33,2.27,-19.94,55.48,37.25,"14,000,000,000","-819,000,000",4,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES,Hess Corporation,Energy,Integrated Oil & Gas,1919,5/31/1984,"New York, New York",40.71,-74.01,4447,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,John Hess,0,"13,493,661.00",#REF!,https://sray.arabesque.com/dashboard/000BVL-E/Hess_Corporation,https://shortsqueeze.com/?symbol=HES&submit=Short+Quote%E2%84%A310,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Flavors & Fragrances,-,IFF,IFF,NYSE,,,,,,,,,,,,,International Flavors & Fragrances,Materials,Specialty Chemicals,1958 (1889),3/31/1976,"New York, New York",40.71,-74.01,51253,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Andreas Fibig,0,"7,629,084.00",#REF!,https://sray.arabesque.com/dashboard/000N1Z-E/International_Flavors_&_Fragrances_Inc.,https://shortsqueeze.com/?symbol=IFF&submit=Short+Quote%E2%84%A311,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interpublic Group,-,IPG,IPG,NYSE,Consumer Discretionary,21.34,15.46,3.38,1.49,25.71,18.3,"8,280,000,000","1,074,900,000",1,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG,Interpublic Group,Communication Services,Advertising,1961 (1930),10/1/1992,"New York, New York",40.71,-74.01,51644,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Michael Roth,0,"16,590,172.00",#REF!,"https://sray.arabesque.com/dashboard/000N2T-E/Interpublic_Group_of_Companies,_Inc.",https://shortsqueeze.com/?symbol=IPG&submit=Short+Quote%E2%84%A312,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPMorgan Chase & Co.,-,JPM,JPM,NYSE,Financials,107.88,15.43,1.98,6.3,117.35,81.64,"387,000,000,000",0,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,2000 (1799 / 1871),6/30/1975,"New York, New York",40.71,-74.01,19617,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,James Dimon,0,"31,612,616.00",#REF!,https://sray.arabesque.com/dashboard/0035K2-E/JPMorgan_Chase_&_Co.,https://shortsqueeze.com/?symbol=JPM&submit=Short+Quote%E2%84%A313,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loews Corp.,-,L,L,NYSE,Financials,46.05,15.99,4.51,1.93,53.59,45.01,"16,100,000,000",0,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=L,Loews Corp.,Financials,Multi-line Insurance,1959,7/3/2064,"New York, New York",40.71,-74.01,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Lowe's Cos.,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,James Tisch,0,"9,312,872.00",#REF!,https://sray.arabesque.com/dashboard/000P7W-E/Loews_Corporation,https://shortsqueeze.com/?symbol=L&submit=Short+Quote%E2%84%A314,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moody's Corp,-,MCO,MCO,NYSE,Financials,152.14,26.55,1.11,1.35,167.23,106.48,"30,200,000,000","1,238,000,000",10,74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCO,Moody's Corp,Financials,Financial Exchanges & Data,1909,12/17/4800,"New York, New York",40.71,-74.01,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Morgan Stanley,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Raymond McDaniel Jr.,0,"13,751,632.00",#REF!,https://sray.arabesque.com/dashboard/000HSZ-E/Moody's_Corporation,https://shortsqueeze.com/?symbol=MCO&submit=Short+Quote%E2%84%A315,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetLife Inc.,-,MET,MET,NYSE,Financials,44.28,8.52,3.46,0.63,56.58,44.58,"48,700,000,000",0,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MET,MetLife Inc.,Financials,Life & Health Insurance,1868,7/22/4909,"New York, New York",40.71,-74.01,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,Mettler Toledo,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Michel Khalaf,0,"14,570,581.00",#REF!,"https://sray.arabesque.com/dashboard/002PV7-E/MetLife,_Inc.",https://shortsqueeze.com/?symbol=MET&submit=Short+Quote%E2%84%A316,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarketAxess,-,MKTX,MKTX,NASDAQ,,,,,,,,,,,,,MarketAxess,Financials,Financial Exchanges & Data,2000,7/1/2019,"New York, New York",40.71,-74.01,1278021,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Richard McVey,0,"3,222,708.00",#REF!,https://sray.arabesque.com/dashboard/005GPJ-E/MarketAxess_Holdings_Inc.,https://shortsqueeze.com/?symbol=MKTX&submit=Short+Quote%E2%84%A317,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marsh & McLennan,-,MMC,MMC,NYSE,Financials,79.31,20.23,1.83,2.87,86.54,69.33,"41,800,000,000","3,236,000,000",3,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMC,Marsh & McLennan,Financials,Insurance Brokers,1905,8/31/1987,"New York, New York",40.71,-74.01,62709,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Daniel Glaser,0,"20,331,697.00",#REF!,"https://sray.arabesque.com/dashboard/000PH0-E/Marsh_&_McLennan_Companies,_Inc.",https://shortsqueeze.com/?symbol=MMC&submit=Short+Quote%E2%84%A318,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Stanley,-,MS,MS,NYSE,Financials,51.79,14.23,1.83,3.09,58.05,40.06,"97,500,000,000",0,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1935,7/30/4351,"New York, New York",40.71,-74.01,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,The Mosaic Company,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,James Gorman,0,"31,642,395.00",#REF!,https://sray.arabesque.com/dashboard/0013TZ-E/Morgan_Stanley,https://shortsqueeze.com/?symbol=MS&submit=Short+Quote%E2%84%A319,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCI Inc,-,MSCI,MSCI,NYSE,,,,,,,,,,,,,MSCI Inc,Financials,Financial Exchanges & Data,1969,4/4/2018,"New York, New York",40.71,-74.01,1408198,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Henry Fernandez,0,"9,255,960.00",#REF!,https://sray.arabesque.com/dashboard/06JP5R-E/MSCI_Inc._Class_A,https://shortsqueeze.com/?symbol=MSCI&submit=Short+Quote%E2%84%A320,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nasdaq, Inc.",-,NDAQ,NDAQ,NASDAQ,Financials,75.21,17.78,1.97,4.32,83.29,65.98,"12,800,000,000","1,212,000,000",3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,1971,10/22/2008,"New York, New York",40.71,-74.01,1120193,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Adena Friedman,0,"13,869,287.00",#REF!,"https://sray.arabesque.com/dashboard/06S1MZ-E/Nasdaq,_Inc.",https://shortsqueeze.com/?symbol=NDAQ&submit=Short+Quote%E2%84%A321,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nielsen Holdings,-,NLSN,NLSN,NYSE,Industrials,33.9,18.73,3.62,1.39,45.73,34.22,"13,400,000,000","1,836,000,000",3,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,1923,7/9/2013,"New York, New York",40.71,-74.01,1492633,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,David Kenny,0,"12,936,400.00",#REF!,https://sray.arabesque.com/dashboard/00GMW8-E/Nielsen_Holdings_Plc,https://shortsqueeze.com/?symbol=NLSN&submit=Short+Quote%E2%84%A322,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
News Corp. Class B,-,NWS,NWS,NASDAQ,Consumer Discretionary,15.85,44.03,1.23,-1.28,17.7,12.35,"9,500,000,000","679,000,000",2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWS,News Corp. Class B,Communication Services,Publishing,2013 (1980),9/18/2015,"New York, New York",40.71,-74.01,1564708,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,#N/A,#N/A,#N/A,#REF!,-,https://shortsqueeze.com/?symbol=NWS&submit=Short+Quote%E2%84%A323,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
News Corp. Class A,-,NWSA,NWSA,NASDAQ,Consumer Discretionary,15.65,43.47,1.25,-1.28,17.29,12,"9,360,000,000","679,000,000",2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWSA,News Corp. Class A,Communication Services,Publishing,2013 (1980),8/1/2013,"New York, New York",40.71,-74.01,1564708,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Robert Thomson,0,"14,747,659.00",#REF!,https://sray.arabesque.com/dashboard/00F8BV-E/News_Corporation_Class_A,https://shortsqueeze.com/?symbol=NWSA&submit=Short+Quote%E2%84%A324,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omnicom Group,-,OMC,OMC,NYSE,Consumer Discretionary,75.91,15.27,3.18,4.79,86.71,65.32,"17,400,000,000","2,366,000,000",2,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OMC,Omnicom Group,Communication Services,Advertising,1986,2/7/1982,"New York, New York",40.71,-74.01,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,ONEOK,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,John Wren,0,"19,818,780.00",#REF!,https://sray.arabesque.com/dashboard/000SVP-E/Omnicom_Group_Inc,https://shortsqueeze.com/?symbol=OMC&submit=Short+Quote%E2%84%A325,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfizer Inc.,-,PFE,PFE,NYSE,Health Care,33.63,12.69,3.89,3.51,39.43,31.67,"209,000,000,000","20,569,000,000",4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE,Pfizer Inc.,Health Care,Pharmaceuticals,1849,3/4/1957,"New York, New York",40.71,-74.01,78003,SEC Filings,Exchange Profile,Yahoo Finance Profile,Dividend Information,"New York, New York","New York, New York County, NY, US",MapQuest,city/town,Albert Bourla,0,"17,928,963.00",#REF!,https://sray.arabesque.com/dashboard/000TBT-E/Pfizer_Inc.,https://shortsqueeze.com/?symbol=PFE&submit=Short+Quote%E2%84%A326,https://shortsqueeze.com/?symbol=,&submit=Short+Quote%E2%84%A326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
